,ISO3,Name,Exchange,Ticker,Price_Change
72,HND,Honduras,,,
73,HKG,Hong Kong,Hang Seng Index,^HSI,-1.9902859253278824
74,HUN,Hungary,,,
75,ISL,Iceland,,,
76,IND,India,BSE (Bombay),^BSESN,-2.586680619481355
77,IDN,Indonesia,Jakarta Index,^JKSE,-0.597816673422414
78,IRN,"Iran, Islamic Republic of",,,
79,IRQ,Iraq,,,
80,IRL,Ireland,,,
81,ISR,Israel,Tel Aviv Stock Exchange,^TA125.TA,-0.45304928515284376
82,ITA,Italy,,,
83,JAM,Jamaica,,,
84,JPN,Japan,Nikkei 225,^N225,-2.175793767393106
85,JOR,Jordan,,,
86,KAZ,Kazakhstan,,,
87,KEN,Kenya,,,
88,KIR,Kiribati,,,
89,PRK,"Korea, Democratic People's Repub",,,
90,KOR,"Korea, Republic of",KOSPI,^KS11,-1.7550797802826523
91,KWT,Kuwait,,,
92,KGZ,Kyrgyzstan,,,
93,LAO,Lao People's Democratic Republic,,,
94,LVA,Latvia,,,
95,LBN,Lebanon,,,
96,LSO,Lesotho,,,
97,LBR,Liberia,,,
98,LBY,Libyan Arab Jamahiriya,,,
99,LIE,Liechtenstein,,,
100,LTU,Lithuania,,,
101,LUX,Luxembourg,,,
102,MKD,Macedonia,,,
103,MDG,Madagascar,,,
104,MWI,Malawi,,,
105,MYS,Malaysia,Kuala Lumpur Exchange,^KLSE,-0.46620629020047405
106,MDV,Maldives,,,
107,MLI,Mali,,,
108,MLT,Malta,,,
109,MHL,Marshall Islands,,,
110,MRT,Mauritania,,,
111,MUS,Mauritius,,,
112,MEX,Mexico,IPC Mexico,^MXX,1.9001994090737804
113,FSM,"Micronesia, Federated States of",,,
114,MDA,"Moldova, Republic of",,,
115,MCO,Monaco,,,
116,MNG,Mongolia,,,
117,MNE,Montenegro,,,
118,MAR,Morocco,,,
119,MOZ,Mozambique,,,
120,MMR,Myanmar,,,
121,NAM,Namibia,,,
122,NRU,Nauru,,,
123,NPL,Nepal,,,
124,NLD,Netherlands,Amsterdam AEX Index,^AEX,-1.281587986522438
125,NZL,New Zealand,NZSE,VGI,-0.08936755368040318
126,NIC,Nicaragua,,,
127,NER,Niger,,,
128,NGA,Nigeria,,,
129,NOR,Norway,Oslo Exchange Benchmark Index_GI,^OSEAX,-0.946231011751218
130,OMN,Oman,,,
131,PAK,Pakistan,,,
132,PLW,Palau,,,
133,PAN,Panama,,,
134,PNG,Papua New Guinea,,,
135,PRY,Paraguay,,,
136,PER,Peru,,,
137,PHL,Philippines,PSEi Index,PSEI.PS,-1.45220427766729
138,POL,Poland,,,
139,PRT,Portugal,Dow Jones Portugal Index EUR,SPY,-1.0750931381071895
140,QAT,Qatar,,,
141,ROU,Romania,,,
142,RUS,Russian Federation,MOEX Russia index,IMOEX.ME,-0.7275885914402622
143,RWA,Rwanda,,,
144,KNA,Saint Kitts and Nevis,,,
145,LCA,Saint Lucia,,,
146,VCT,Saint Vincent and the Grenadines,,,
147,WSM,Samoa,,,
148,SMR,San Marino,,,
149,STP,Sao Tome and Principe,,,
150,SAU,Saudi Arabia,,,
151,SEN,Senegal,,,
152,SRB,Serbia,,,
153,SYC,Seychelles,,,
154,SLE,Sierra Leone,,,
155,SGP,Singapore,,,
156,SVK,Slovakia,,,
157,SVN,Slovenia,,,
158,SLB,Solomon Islands,,,
159,SOM,Somalia,,,
160,ZAF,South Africa,Johannesburg,^JN0U.JO,1.3537521413891436
161,ESP,Spain,,,
162,LKA,Sri Lanka,,,
163,SDN,Sudan,,,
164,SUR,Suriname,,,
165,SWZ,Swaziland,,,
166,SWE,Sweden,,,
167,CHE,Switzerland,,,
168,SYR,Syrian Arab Republic,,,
169,TWN,Taiwan,TSEC,^TWII,-0.812041318579477
170,TJK,Tajikistan,,,
171,TZA,"Tanzania, United Republic of",,,
172,THA,Thailand,,,
173,TLS,Timor-Leste,,,
174,TGO,Togo,,,
175,TON,Tonga,,,
176,TTO,Trinidad and Tobago,,,
177,TUN,Tunisia,,,
178,TUR,Turkey,BIST 100,XU100.IS,-9.311590196989686
179,TKM,Turkmenistan,,,
180,TUV,Tuvalu,,,
181,UGA,Uganda,,,
182,UKR,Ukraine,,,
183,ARE,United Arab Emirates,,,
184,GBR,United Kingdom,FTSE,^FTSE,0.1279220458661587
185,USA,United States,SPX,VOO,-1.0485594702645082
186,URY,Uruguay,,,
187,UZB,Uzbekistan,,,
188,VUT,Vanuatu,,,
189,VEN,"Venezuela, Bolivarian Republic o",,,
190,VNM,Viet Nam,,,
191,YEM,Yemen,,,
192,ZMB,Zambia,,,
193,ZWE,Zimbabwe,,,
